qtr,clock,playerid,playername,passing_yds,rushing_yds,receiving_yds,receiving_rec,passing_tds,rushing_tds,receiving_tds
1,03:41,00-0010346,P.Manning,2,0,0,0,0,0,0
1,03:41,00-0028067,J.Thomas,0,0,2,1,0,0,0
1,03:41,00-0022942,P.Rivers,5,0,0,0,0,0,0
1,03:41,00-0030279,K.Allen,0,0,5,1,0,0,0
1,03:38,00-0023459,A.Rodgers,6,0,0,0,1,0,0
1,03:38,00-0031381,D.Adams,0,0,6,1,0,0,1
1,03:34,00-0026498,M.Stafford,3,0,0,0,0,0,0
1,03:34,00-0027218,J.Bell,0,0,3,1,0,0,0
1,03:31,00-0031075,A.Blue,0,5,0,0,0,0,0
1,03:26,00-0023541,K.Orton,2,0,0,0,0,0,0
1,03:26,00-0030049,C.Gragg,0,0,2,1,0,0,0
1,03:26,00-0027973,A.Dalton,12,0,0,0,1,0,0
1,03:26,00-0027873,J.Gresham,0,0,12,1,0,0,1
1,03:25,00-0027029,L.McCoy,0,3,0,0,0,0,0
1,03:21,00-0029587,R.Ellison,0,0,7,1,0,0,1
1,03:21,00-0031237,T.Bridgewater,7,0,0,0,1,0,0
1,03:20,00-0030496,L.Bell,0,1,0,0,0,0,0
1,03:19,00-0027974,C.Kaepernick,11,0,0,0,0,0,0
1,03:19,00-0022084,A.Boldin,0,0,11,1,0,0,0
1,03:18,00-0031277,B.Oliver,0,5,0,0,0,0,0
1,03:16,00-0010346,P.Manning,3,0,0,0,0,0,0
1,03:16,00-0022427,W.Welker,0,0,3,1,0,0,0
1,03:14,00-0027966,M.Ingram,0,3,0,0,0,0,0
1,03:13,00-0027939,C.Newton,9,0,0,0,0,0,0
1,03:13,00-0031359,K.Benjamin,0,0,9,1,0,0,0
1,03:12,00-0029141,A.Morris,0,2,0,0,0,0,0
1,03:10,00-0024226,J.Cutler,5,0,0,0,0,0,0
1,03:10,00-0030047,M.Wilson,0,0,5,1,0,0,0
1,03:02,00-0027029,L.McCoy,0,1,0,0,0,0,0
1,02:58,00-0025399,M.Lynch,0,13,0,0,0,0,0
1,02:58,00-0029668,A.Luck,11,0,0,0,0,0,0
1,02:58,00-0029608,T.Hilton,0,0,11,1,0,0,0
1,02:53,00-0028012,R.Mallett,12,0,0,0,0,0,0
1,02:53,00-0022044,A.Johnson,0,0,12,1,0,0,0
1,02:47,00-0010346,P.Manning,13,0,0,0,0,0,0
1,02:47,00-0027685,E.Sanders,0,0,13,1,0,0,0
1,02:46,00-0025430,D.Stanton,22,0,0,0,0,0,0
1,02:46,00-0022921,L.Fitzgerald,0,0,22,1,0,0,0
1,02:45,00-0024242,D.Williams,0,7,0,0,0,0,0
1,02:41,00-0023541,K.Orton,15,0,0,0,0,0,0
1,02:41,00-0028237,C.Hogan,0,0,15,1,0,0,0
1,02:40,00-0029665,R.Griffin,15,0,0,0,0,0,0
1,02:40,00-0026189,D.Jackson,0,0,15,1,0,0,0
1,02:37,00-0027974,C.Kaepernick,0,-7,0,0,0,0,0
1,02:34,00-0020531,D.Brees,4,0,0,0,0,0,0
1,02:34,00-0027696,J.Graham,0,0,4,1,0,0,0
1,02:32,00-0025399,M.Lynch,0,4,0,0,0,0,0
1,02:31,00-0025637,A.Bradshaw,0,5,0,0,0,0,0
1,02:30,00-0022924,B.Roethlisberger,14,0,0,0,0,0,0
1,02:30,00-0027793,A.Brown,0,0,14,1,0,0,0
1,02:29,00-0026184,M.Forte,0,1,0,0,0,0,0
1,02:27,00-0029854,C.Anderson,0,1,0,0,0,0,0
1,02:24,00-0029510,J.Grimes,0,2,0,0,0,0,0
1,02:18,00-0027772,A.Dixon,0,7,0,0,0,0,0
1,02:18,00-0024275,M.Jones-Drew,0,2,0,0,0,0,0
1,02:11,00-0030287,A.Ellington,0,4,0,0,0,0,0
1,02:09,00-0029665,R.Griffin,6,0,0,0,0,0,0
1,02:09,00-0026345,P.Garcon,0,0,6,1,0,0,0
1,02:06,00-0010346,P.Manning,4,0,0,0,0,0,0
1,02:06,00-0022427,W.Welker,0,0,4,1,0,0,0
1,02:00,00-0029273,R.Turbin,0,4,0,0,0,0,0
1,02:00,00-0030496,L.Bell,0,1,0,0,0,0,0
1,01:58,00-0031075,A.Blue,0,8,0,0,0,0,0
1,01:56,00-0020531,D.Brees,5,0,0,0,0,0,0
1,01:56,00-0031236,B.Cooks,0,0,5,1,0,0,0
1,01:54,00-0027029,L.McCoy,0,5,0,0,0,0,0
1,01:52,00-0031045,C.Hyde,0,4,0,0,0,0,0
1,01:48,00-0029137,A.Jeffery,0,0,10,1,0,0,0
1,01:48,00-0024226,J.Cutler,10,0,0,0,0,0,0
1,01:44,00-0029429,B.Brown,0,5,0,0,0,0,0
1,01:42,00-0026393,M.Reece,0,0,0,1,0,0,0
1,01:33,00-0026898,M.Sanchez,5,0,0,0,0,0,0
1,01:33,00-0031299,J.Matthews,0,0,5,1,0,0,0
1,01:29,00-0031075,A.Blue,0,1,0,0,0,0,0
1,01:29,00-0029141,A.Morris,0,1,0,0,0,0,0
1,01:26,00-0027939,C.Newton,13,0,0,0,0,0,0
1,01:26,00-0025418,G.Olsen,0,0,13,1,0,0,0
1,01:19,00-0029273,R.Turbin,0,4,0,0,0,0,0
1,01:18,00-0020679,S.Hill,63,0,0,0,1,0,0
1,01:18,00-0027006,K.Britt,0,0,63,1,0,0,1
1,01:12,00-0020531,D.Brees,14,0,0,0,0,0,0
1,01:12,00-0031236,B.Cooks,0,0,14,1,0,0,0
